	annotation_category	fident	COV_query	COV_target	TruePositive	FalsePositive	sum_TPFP	precision	TruePositive_x_sum_TPFP
0	EC number	0.0	0.0	0.0	706	22	728	0.9697802197802198	684.6648351648352
1	EC number	0.0	0.0	0.1	706	22	728	0.9697802197802198	684.6648351648352
2	EC number	0.0	0.0	0.2	705	21	726	0.9710743801652892	684.6074380165289
3	EC number	0.0	0.0	0.3	690	21	711	0.9704641350210971	669.620253164557
4	EC number	0.0	0.0	0.4	680	21	701	0.9700427960057061	659.6291012838801
5	EC number	0.0	0.0	0.5	668	19	687	0.9723435225618632	649.5254730713247
6	EC number	0.0	0.0	0.6	646	18	664	0.9728915662650602	628.4879518072289
7	EC number	0.0	0.0	0.7	617	15	632	0.9762658227848101	602.3560126582279
8	EC number	0.0	0.0	0.8	596	11	607	0.9818780889621087	585.1993410214168
9	EC number	0.0	0.0	0.9	548	8	556	0.9856115107913669	540.115107913669
10	EC number	0.0	0.1	0.1	548	8	556	0.9856115107913669	540.115107913669
11	EC number	0.0	0.1	0.2	548	8	556	0.9856115107913669	540.115107913669
12	EC number	0.0	0.1	0.3	548	8	556	0.9856115107913669	540.115107913669
13	EC number	0.0	0.1	0.4	548	8	556	0.9856115107913669	540.115107913669
14	EC number	0.0	0.1	0.5	548	8	556	0.9856115107913669	540.115107913669
15	EC number	0.0	0.1	0.6	548	8	556	0.9856115107913669	540.115107913669
16	EC number	0.0	0.1	0.7	548	8	556	0.9856115107913669	540.115107913669
17	EC number	0.0	0.1	0.8	548	8	556	0.9856115107913669	540.115107913669
18	EC number	0.0	0.1	0.9	548	8	556	0.9856115107913669	540.115107913669
19	EC number	0.0	0.2	0.2	548	8	556	0.9856115107913669	540.115107913669
20	EC number	0.0	0.2	0.3	548	8	556	0.9856115107913669	540.115107913669
21	EC number	0.0	0.2	0.4	548	8	556	0.9856115107913669	540.115107913669
22	EC number	0.0	0.2	0.5	548	8	556	0.9856115107913669	540.115107913669
23	EC number	0.0	0.2	0.6	548	8	556	0.9856115107913669	540.115107913669
24	EC number	0.0	0.2	0.7	548	8	556	0.9856115107913669	540.115107913669
25	EC number	0.0	0.2	0.8	548	8	556	0.9856115107913669	540.115107913669
26	EC number	0.0	0.2	0.9	548	8	556	0.9856115107913669	540.115107913669
27	EC number	0.0	0.3	0.3	546	8	554	0.9855595667870036	538.115523465704
28	EC number	0.0	0.3	0.4	546	8	554	0.9855595667870036	538.115523465704
29	EC number	0.0	0.3	0.5	546	8	554	0.9855595667870036	538.115523465704
30	EC number	0.0	0.3	0.6	546	8	554	0.9855595667870036	538.115523465704
31	EC number	0.0	0.3	0.7	546	8	554	0.9855595667870036	538.115523465704
32	EC number	0.0	0.3	0.8	546	8	554	0.9855595667870036	538.115523465704
33	EC number	0.0	0.3	0.9	546	8	554	0.9855595667870036	538.115523465704
34	EC number	0.0	0.4	0.4	543	8	551	0.985480943738657	535.1161524500908
35	EC number	0.0	0.4	0.5	543	8	551	0.985480943738657	535.1161524500908
36	EC number	0.0	0.4	0.6	543	8	551	0.985480943738657	535.1161524500908
37	EC number	0.0	0.4	0.7	543	8	551	0.985480943738657	535.1161524500908
38	EC number	0.0	0.4	0.8	543	8	551	0.985480943738657	535.1161524500908
39	EC number	0.0	0.4	0.9	543	8	551	0.985480943738657	535.1161524500908
40	EC number	0.0	0.5	0.5	542	8	550	0.9854545454545455	534.1163636363636
41	EC number	0.0	0.5	0.6	542	8	550	0.9854545454545455	534.1163636363636
42	EC number	0.0	0.5	0.7	542	8	550	0.9854545454545455	534.1163636363636
43	EC number	0.0	0.5	0.8	542	8	550	0.9854545454545455	534.1163636363636
44	EC number	0.0	0.5	0.9	542	8	550	0.9854545454545455	534.1163636363636
45	EC number	0.0	0.6	0.6	542	8	550	0.9854545454545455	534.1163636363636
46	EC number	0.0	0.6	0.7	542	8	550	0.9854545454545455	534.1163636363636
47	EC number	0.0	0.6	0.8	542	8	550	0.9854545454545455	534.1163636363636
48	EC number	0.0	0.6	0.9	542	8	550	0.9854545454545455	534.1163636363636
49	EC number	0.0	0.7	0.7	539	8	547	0.9853747714808044	531.1170018281535
50	EC number	0.0	0.7	0.8	539	8	547	0.9853747714808044	531.1170018281535
51	EC number	0.0	0.7	0.9	539	8	547	0.9853747714808044	531.1170018281535
52	EC number	0.0	0.8	0.8	534	7	541	0.9870609981515711	527.090573012939
53	EC number	0.0	0.8	0.9	534	7	541	0.9870609981515711	527.090573012939
54	EC number	0.0	0.9	0.9	525	6	531	0.9887005649717514	519.0677966101695
55	Protein families	0.0	0.0	0.0	1353	9	1362	0.9933920704845814	1344.0594713656387
56	Protein families	0.0	0.0	0.1	1353	9	1362	0.9933920704845814	1344.0594713656387
57	Protein families	0.0	0.0	0.2	1353	9	1362	0.9933920704845814	1344.0594713656387
58	Protein families	0.0	0.0	0.3	1353	9	1362	0.9933920704845814	1344.0594713656387
